Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"F5","Coagulation Factor V","Protein Coding","45","GC01M169511","78.3711090087891","https://www.genecards.org/cgi-bin/carddisp.pl?gene=F5"
"F2","Coagulation Factor II, Thrombin","Protein Coding","47","GC11P046720","62.5522766113281","https://www.genecards.org/cgi-bin/carddisp.pl?gene=F2"
"KCNQ1","Potassium Voltage-Gated Channel Subfamily Q Member 1","Protein Coding","49","GC11P002444","52.0133285522461","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNQ1"
"STAT3","Signal Transducer And Activator Of Transcription 3","Protein Coding","51","GC17M042313","50.1132202148438","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT3"
"FLCN","Folliculin","Protein Coding","41","GC17M017206","47.1157836914063","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLCN"
"NLRP7","NLR Family Pyrin Domain Containing 7","Protein Coding","43","GC19M054923","44.2553634643555","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NLRP7"
"CCNB3","Cyclin B3","Protein Coding","36","GC0XP050202","42.5194778442383","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCNB3"
"ANXA5","Annexin A5","Protein Coding","45","GC04M121667","41.9744110107422","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANXA5"
"MTHFR","Methylenetetrahydrofolate Reductase","Protein Coding","48","GC01M011785","35.2879028320313","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTHFR"
"NCR1","Natural Cytotoxicity Triggering Receptor 1","Protein Coding","36","GC19P054906","34.0194625854492","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCR1"
"IL6","Interleukin 6","Protein Coding","48","GC07P022725","33.5812225341797","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6"
"TNF","Tumor Necrosis Factor","Protein Coding","49","GC06P061170","33.1976776123047","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNF"
"TP53","Tumor Protein P53","Protein Coding","52","GC17M007661","31.6759338378906","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53"
